,0
0,Misiones
1,Formosa
2,Buenos Aires F.D.
3,Entre Rios
4,Corrientes
5,Buenos Aires
6,Tucuman
7,Tierra del Fuego
8,Santiago del Estero
9,Santa Fe
10,Santa Cruz
11,San Luis
12,San Juan
13,Salta
14,Rio Negro
15,Neuquen
16,Mendoza
17,La Rioja
18,La Pampa
19,Jujuy
20,Cordoba
21,Chubut
22,Chaco
23,Catamarca
